word_1	word_2	biword	frequency
3SBJ.DEF	at.night	3SBJ.DEF|at.night	1
PROG	PROB	PROG|PROB	2
PROB	be.unfortunate[1sbj].	PROB|be.unfortunate[1sbj].	1
crow	INCH	crow|INCH	1
INCH	go.about[3sbj].	INCH|go.about[3sbj].	1
go.about[3sbj].	PROG	go.about[3sbj].|PROG	1
3SBJ.DEF	around	3SBJ.DEF|around	4
around	already	around|already	2
already	tide.be.right	already|tide.be.right	1
go[1sbj].	PROG	go[1sbj].|PROG	2
next.day	on.arrival	next.day|on.arrival	1
INCH	be.inside	INCH|be.inside	1
ITER	go.up	ITER|go.up	7
PST	build.fire	PST|build.fire	3
INCH	cook	INCH|cook	6
PROG	here.and.there	PROG|here.and.there	8
here.and.there	EMP	here.and.there|EMP	2
look	around	look|around	1
around	3SBJ.DEF	around|3SBJ.DEF	2
3POSS	PST	3POSS|PST	13
surely	PST	surely|PST	2
PST	do	PST|do	3
PST	bury	PST|bury	2
someone.else.	PST	someone.else.|PST	1
all	PROG	all|PROG	1
PROG	go[3sbj].	PROG|go[3sbj].	1
all	cross	all|cross	4
cross	3SBJ.INDF.	cross|3SBJ.INDF.	1
then	talk	then|talk	1
3SBJ.DEF.	EMPH	3SBJ.DEF.|EMPH	6
EMPH	CESS	EMPH|CESS	3
CESS	grow.up	CESS|grow.up	3
all	happen	all|happen	1
happen	all	happen|all	1
all	cl.time	all|cl.time	1
INCH	go.about	INCH|go.about	3
always	PST	always|PST	2
PROG	kill	PROG|kill	4
PST	run.footrace[3sbj]	PST|run.footrace[3sbj]	2
PST	play.stick.game	PST|play.stick.game	2
PST	jump<3sbj>	PST|jump<3sbj>	1
3SBJ.DEF.	already	3SBJ.DEF.|already	3
already	FUT	already|FUT	2
FUT	shoot[3sbj]	FUT|shoot[3sbj]	2
PROG	shoot.arrow.into.hole.in.ground	PROG|shoot.arrow.into.hole.in.ground	1
PST	shoot.at.bunch.of.grass.in.air	PST|shoot.at.bunch.of.grass.in.air	1
PST	shoot.sticks.into.ground[3sbj]	PST|shoot.sticks.into.ground[3sbj]	1
3NEG	treat	3NEG|treat	2
old.man	INCH	old.man|INCH	1
INCH	dig.hole	INCH|dig.hole	1
woods	go.to	woods|go.to	3
ITER	go.about	ITER|go.about	7
old.man	PST	old.man|PST	9
1NEG	know	1NEG|know	15
1SBJ.SBJV.	PST	1SBJ.SBJV.|PST	3
ITER	be.light[nmlz]	ITER|be.light[nmlz]	3
TH<3SBJ>PASS.	PST	TH<3SBJ>PASS.|PST	1
TH.IMPL[3SBJ].	PST	TH.IMPL[3SBJ].|PST	2
TH.IMPL.	PST	TH.IMPL.|PST	1
PROG	shoot.at.hole	PROG|shoot.at.hole	1
PST	shoot.at.grass	PST|shoot.at.grass	1
PST	shoot.at.sticks[3sbj]	PST|shoot.at.sticks[3sbj]	1
valuables.	PST	valuables.|PST	2
PROG	be.big	PROG|be.big	2
AFF	FUT	AFF|FUT	7
FUT	look.for	FUT|look.for	1
go.to	see	go.to|see	5
PFV	go.to	PFV|go.to	1
3OBJ[3SBJ].	PST	3OBJ[3SBJ].|PST	1
EMP	then	EMP|then	2
then	be.so	then|be.so	1
3POSS[NMLZ]	PROG	3POSS[NMLZ]|PROG	1
PROG	think	PROG|think	9
all.right	PST	all.right|PST	1
PST	go.to.work	PST|go.to.work	1
ITER	go.out	ITER|go.out	4
DEF	very	DEF|very	5
very	be.disagreeable[nmlz]	very|be.disagreeable[nmlz]	2
EMP	PST	EMP|PST	2
3NEG	single.one	3NEG|single.one	2
then	go.to	then|go.to	1
go.to	be.so[3sbj].	go.to|be.so[3sbj].	1
NMLZ.INF	go.to	NMLZ.INF|go.to	2
already	so	already|so	1
NMLZ.P	go.to	NMLZ.P|go.to	1
go.to	look.for[3sbj].	go.to|look.for[3sbj].	1
look.for[3sbj].	3NEG	look.for[3sbj].|3NEG	1
do[3sbj]).	INCH	do[3sbj]).|INCH	1
INCH	near	INCH|near	8
madrone.berries	already	madrone.berries|already	2
INCH	fall.off[3sbj].	INCH|fall.off[3sbj].	1
AFF.	PROG	AFF.|PROG	3
3SBJ.DEF.	no.longer	3SBJ.DEF.|no.longer	7
no.longer	ITER	no.longer|ITER	2
ITER	be.far	ITER|be.far	1
3NEG	on.arrival	3NEG|on.arrival	1
on.arrival	be.long.time	on.arrival|be.long.time	1
stay[3sbj].	INCH	stay[3sbj].|INCH	1
all	INCH	all|INCH	2
1SBJ.	PST	1SBJ.|PST	7
PROG	move	PROG|move	1
PL	dwell[nmlz]	PL|dwell[nmlz]	1
TH.IMPL[3SBJ].	CESS	TH.IMPL[3SBJ].|CESS	2
be.light[nmlz]	PST	be.light[nmlz]|PST	1
PROG	carry	PROG|carry	6
